RICO_scannet_1_2024_04_24_22_01_38 [107] (51/465): loss = 0.07776888459920883, rgb_loss = 0.0387401282787323, eikonal_loss = 0.03488694503903389, bg_render_loss = 0.0, lop_loss = 3.904205732396804e-05, lrd_loss = 0.00018118222942575812, semantic_loss = 0.02906271256506443, smooth_loss = 0.0, depth_loss = 0.05617901682853699, normal_l1 = 0.49876511096954346, normal_cos = 0.11087435483932495, psnr = 21.91729164123535
RICO_scannet_1_2024_04_24_22_01_38 [107] (52/465): loss = 0.05441517382860184, rgb_loss = 0.034609198570251465, eikonal_loss = 0.026273513212800026, bg_render_loss = 0.0, lop_loss = 6.641255458816886e-05, lrd_loss = 3.3357606298523024e-05, semantic_loss = 0.054261744022369385, smooth_loss = 0.0, depth_loss = 0.0472906157374382, normal_l1 = 0.2052827626466751, normal_cos = 0.02637307718396187, psnr = 25.264558792114258
RICO_scannet_1_2024_04_24_22_01_38 [107] (53/465): loss = 0.06000439450144768, rgb_loss = 0.035431455820798874, eikonal_loss = 0.031230870634317398, bg_render_loss = 0.0, lop_loss = 2.6345140213379636e-05, lrd_loss = 0.0, semantic_loss = 0.010355482809245586, smooth_loss = 0.0, depth_loss = 0.0840790793299675, normal_l1 = 0.25778907537460327, normal_cos = 0.025943616405129433, psnr = 24.467227935791016
RICO_scannet_1_2024_04_24_22_01_38 [107] (54/465): loss = 0.05012473836541176, rgb_loss = 0.024780167266726494, eikonal_loss = 0.03315480425953865, bg_render_loss = 0.0, lop_loss = 5.834287730976939e-05, lrd_loss = 0.00012346524454187602, semantic_loss = 0.07451167702674866, smooth_loss = 0.0, depth_loss = 0.07095557451248169, normal_l1 = 0.2326352447271347, normal_cos = 0.0392172709107399, psnr = 28.410165786743164
RICO_scannet_1_2024_04_24_22_01_38 [107] (55/465): loss = 0.09376859664916992, rgb_loss = 0.04458291456103325, eikonal_loss = 0.0373857356607914, bg_render_loss = 0.10278009623289108, lop_loss = 0.00022307102335616946, lrd_loss = 2.125557693943847e-05, semantic_loss = 0.10847793519496918, smooth_loss = 0.0, depth_loss = 0.09816142916679382, normal_l1 = 0.3999714255332947, normal_cos = 0.05720248445868492, psnr = 22.011125564575195
RICO_scannet_1_2024_04_24_22_01_38 [107] (56/465): loss = 0.05245324969291687, rgb_loss = 0.03340782970190048, eikonal_loss = 0.03487832844257355, bg_render_loss = 0.0, lop_loss = 0.00011816521146101877, lrd_loss = 0.0008705677464604378, semantic_loss = 0.08214490115642548, smooth_loss = 0.0, depth_loss = 0.03304962068796158, normal_l1 = 0.19459693133831024, normal_cos = 0.01764051243662834, psnr = 25.551795959472656
RICO_scannet_1_2024_04_24_22_01_38 [107] (57/465): loss = 0.11016440391540527, rgb_loss = 0.07663695514202118, eikonal_loss = 0.036251455545425415, bg_render_loss = 0.0, lop_loss = 1.5809519027243368e-07, lrd_loss = 0.0, semantic_loss = 0.002895945915952325, smooth_loss = 0.0, depth_loss = 0.07640668749809265, normal_l1 = 0.39723554253578186, normal_cos = 0.08193159103393555, psnr = 18.214099884033203
RICO_scannet_1_2024_04_24_22_01_38 [107] (58/465): loss = 0.10509812086820602, rgb_loss = 0.06262247264385223, eikonal_loss = 0.04980485141277313, bg_render_loss = 0.0, lop_loss = 3.245218749725609e-06, lrd_loss = 0.0, semantic_loss = 0.004440964665263891, smooth_loss = 0.0, depth_loss = 0.09295514971017838, normal_l1 = 0.5061668157577515, normal_cos = 0.10407167673110962, psnr = 20.490253448486328
RICO_scannet_1_2024_04_24_22_01_38 [107] (59/465): loss = 0.05380617454648018, rgb_loss = 0.02724321186542511, eikonal_loss = 0.029868608340620995, bg_render_loss = 0.0, lop_loss = 0.00011201318557141349, lrd_loss = 0.0006139191682450473, semantic_loss = 0.04988100752234459, smooth_loss = 0.0, depth_loss = 0.05733868107199669, normal_l1 = 0.30211761593818665, normal_cos = 0.04323889687657356, psnr = 26.978384017944336
RICO_scannet_1_2024_04_24_22_01_38 [107] (60/465): loss = 0.056659944355487823, rgb_loss = 0.030506636947393417, eikonal_loss = 0.03734728693962097, bg_render_loss = 0.0, lop_loss = 3.695272243930958e-05, lrd_loss = 0.00045809970470145345, semantic_loss = 0.049834080040454865, smooth_loss = 0.0, depth_loss = 0.0788828432559967, normal_l1 = 0.25230202078819275, normal_cos = 0.03479377552866936, psnr = 26.480485916137695
RICO_scannet_1_2024_04_24_22_01_38 [107] (61/465): loss = 0.1120704859495163, rgb_loss = 0.06715276837348938, eikonal_loss = 0.05205944553017616, bg_render_loss = 0.0, lop_loss = 2.283588946738746e-05, lrd_loss = 0.0, semantic_loss = 0.0281065683811903, smooth_loss = 0.0, depth_loss = 0.17259952425956726, normal_l1 = 0.4116387367248535, normal_cos = 0.06692618131637573, psnr = 19.941720962524414
RICO_scannet_1_2024_04_24_22_01_38 [107] (62/465): loss = 0.10795906186103821, rgb_loss = 0.06573614478111267, eikonal_loss = 0.058133069425821304, bg_render_loss = 0.0, lop_loss = 5.659539965563454e-05, lrd_loss = 0.0, semantic_loss = 0.13919419050216675, smooth_loss = 0.0, depth_loss = 0.11235053092241287, normal_l1 = 0.37380123138427734, normal_cos = 0.0763544887304306, psnr = 20.675472259521484
RICO_scannet_1_2024_04_24_22_01_38 [107] (63/465): loss = 0.07043561339378357, rgb_loss = 0.019067127257585526, eikonal_loss = 0.02648523636162281, bg_render_loss = 0.0, lop_loss = 0.00013010133989155293, lrd_loss = 2.7410043912823312e-05, semantic_loss = 0.08057792484760284, smooth_loss = 0.0, depth_loss = 0.07199321687221527, normal_l1 = 0.6523747444152832, normal_cos = 0.13974574208259583, psnr = 30.768348693847656
